City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
353,Broome,US,42.25,-75.83,79.0,73,20,10.29
354,Bukama,CD,-9.2,25.85,74.48,45,2,0.34
355,Mingaora,PK,34.78,72.36,75.7,51,0,3.65
356,Ninghai,CN,29.29,121.42,80.6,94,99,11.18
357,Sitka,US,57.05,-135.33,55.4,87,75,6.93
358,Pevek,RU,69.7,170.31,49.44,77,90,4.65
359,Acajutla,SV,13.59,-89.83,87.8,35,20,3.36
360,Ozinki,RU,51.18,49.68,72.82,86,36,13.13
361,Port Lincoln,AU,-34.73,135.87,51.96,82,14,11.03
362,Andros Town,BS,24.7,-77.77,83.37,70,100,18.37
363,Lagos,NG,6.58,3.75,77.0,94,40,3.36
364,Guerrero Negro,MX,27.98,-114.06,91.31,26,0,15.7
365,Baneh,IR,36.0,45.89,63.9,64,0,5.68
366,Kahului,US,20.89,-156.47,89.6,40,20,24.16
367,Luchegorsk,RU,46.48,134.26,62.47,94,100,1.68
368,Porosozero,RU,62.72,32.73,50.61,96,38,6.85
369,Almaznyy,RU,48.04,40.05,75.2,33,0,11.18
370,Evensk,RU,61.95,159.23,57.18,81,100,1.57
371,Alta Floresta,BR,-9.88,-56.09,86.83,39,13,2.57
372,Sawakin,SD,19.11,37.33,88.43,39,0,6.67
373,Saint-Augustin,CA,51.23,-58.65,70.48,68,90,24.72
374,Shimoda,JP,34.67,138.95,73.0,89,100,1.99
375,Port Hedland,AU,-20.32,118.57,59.0,26,0,9.17
376,Voznesenye,RU,61.01,35.48,58.35,70,33,18.23
377,Tiszavasvari,HU,47.97,21.35,62.6,67,100,14.99
378,Zhanaozen,KZ,43.3,52.8,87.75,17,69,8.5
379,Torrington,US,41.8,-73.12,81.0,85,93,1.01
380,Kodinsk,RU,58.69,99.18,54.66,80,64,3.0
381,High Level,CA,58.52,-117.14,71.6,46,75,12.75
382,Balkhash,KZ,46.84,74.98,69.67,52,0,12.21
383,Namatanai,PG,-3.67,152.43,79.72,83,53,6.46
384,Luderitz,NA,-26.65,15.16,53.6,81,0,5.82
385,Vila Velha,BR,-20.33,-40.29,71.6,78,0,3.36
386,Shenjiamen,CN,29.96,122.3,77.83,91,89,23.76
387,Nadym,RU,65.53,72.52,55.54,59,100,8.37
388,Klaksvik,FO,62.23,-6.59,50.0,100,94,9.17
389,Bedele,ET,8.46,36.35,56.68,100,97,1.61
390,Los Llanos De Aridane,ES,28.66,-17.92,71.6,78,7,17.22
391,Alekseyevsk,RU,57.84,108.35,58.95,90,96,3.58
392,North Bend,US,43.41,-124.22,70.0,56,40,13.87
393,Dunedin,NZ,-45.87,170.5,48.0,87,100,6.78
394,Itupiranga,BR,-5.13,-49.33,86.0,66,40,2.98
395,Naze,JP,28.37,129.48,80.6,94,89,2.24
396,Demirci,TR,39.05,28.66,81.0,51,0,7.0
397,Cockburn Town,TC,21.46,-71.14,87.8,62,40,11.41
398,Kyren,RU,51.68,102.14,61.05,80,100,0.31
399,Safaga,EG,26.73,33.94,93.2,26,0,9.17
400,Sur,OM,22.57,59.53,84.76,69,53,19.46
401,Mount Hagen,PG,-5.86,144.23,57.29,90,100,0.98
402,Awbari,LY,26.59,12.78,83.57,18,0,4.79
403,Tautira,PF,-17.73,-149.15,84.2,51,20,19.46
404,Bolekhiv,UA,49.07,23.86,53.26,91,100,10.11
405,Brcko,BA,44.87,18.81,73.4,94,40,5.82
406,Itacoatiara,BR,-3.14,-58.44,85.8,67,92,3.0
407,Taggia,IT,43.85,7.85,73.99,100,20,11.41
408,Egvekinot,RU,66.32,-179.17,57.09,52,2,3.53
409,Tecoanapa,MX,16.52,-98.75,85.68,66,93,3.27
410,Bangui,CF,4.36,18.55,80.6,83,100,1.97
411,Paamiut,GL,61.99,-49.67,44.55,85,0,3.78
412,Quelimane,MZ,-17.88,36.89,69.22,87,0,8.52
413,Paldiski,EE,59.36,24.05,57.99,93,20,9.17
414,Castrillon,ES,43.4,-6.79,66.2,77,75,13.87
415,Paragominas,BR,-2.97,-47.48,75.2,96,85,3.47
416,Pangai,TO,-19.8,-174.35,78.8,69,40,12.75
417,Kharan,PK,28.58,65.42,83.89,14,0,6.51
418,Kalnciems,LV,56.8,23.61,55.4,82,98,3.36
419,Mumford,GH,5.26,-0.76,74.57,88,98,9.01
420,Capaci,IT,38.17,13.24,79.0,74,0,6.93
421,Katangli,RU,51.71,143.23,52.16,93,100,3.89
422,Carndonagh,IE,55.25,-7.27,48.16,84,2,3.65
423,Lexington,US,37.99,-84.48,87.8,48,20,8.05
424,Mauganj,IN,24.68,81.88,82.51,74,94,14.25
425,Elizabeth City,US,36.29,-76.25,91.99,55,1,11.41
426,Masunga,BW,-20.62,27.45,47.88,47,0,10.31
427,Hami,CN,42.8,93.45,79.81,25,99,6.17
428,Vlasenica,BA,44.18,18.94,73.4,94,40,5.82
429,Shihezi,CN,44.3,86.03,70.27,48,34,6.8
430,Fort Nelson,CA,58.81,-122.7,68.0,49,75,3.36
