City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
82,Alugan,PH,12.22,125.48,84.83,68,100,4.05,overcast clouds,0,0
83,Kerema,PG,-7.96,145.78,83.68,71,0,4.21,clear sky,0,0
84,Darhan,MN,49.49,105.92,69.22,66,0,4.68,clear sky,0,0
85,Luderitz,NA,-26.65,15.16,51.8,87,0,5.82,clear sky,0,0
86,Longyearbyen,SJ,78.22,15.64,46.4,75,75,2.24,broken clouds,0,0
87,Svecha,RU,58.28,47.52,59.88,94,0,4.97,clear sky,0,0
88,Port Blair,IN,11.67,92.75,82.69,78,100,14.47,overcast clouds,0,0
89,Mar Del Plata,AR,-38.0,-57.56,42.8,60,0,23.04,clear sky,0,0
90,Orbetello,IT,42.44,11.22,73.4,38,100,12.75,overcast clouds,0,0
91,Farmington,US,36.73,-108.22,100.4,14,1,14.99,clear sky,0,0
92,Hermanus,ZA,-34.42,19.23,55.0,87,100,8.01,light rain,0,0
93,Avarua,CK,-21.21,-159.78,68.0,94,100,3.36,moderate rain,0,0
94,Lamu,KE,-2.27,40.9,77.23,79,71,17.07,broken clouds,0,0
95,Ketchikan,US,55.34,-131.65,60.8,72,90,9.17,overcast clouds,0,0
96,Paamiut,GL,61.99,-49.67,44.85,81,100,12.28,overcast clouds,0,0
97,Cidreira,BR,-30.18,-50.21,55.35,87,21,7.0,few clouds,0,0
98,Nokaneng,BW,-19.67,22.27,42.19,51,0,3.38,clear sky,0,0
99,Broken Hill,AU,-31.95,141.43,44.6,87,90,14.99,overcast clouds,0,0
100,Suntar,RU,62.14,117.63,70.57,80,84,5.12,broken clouds,0,0
101,Bahia Honda,CU,22.9,-83.16,80.87,75,99,1.77,overcast clouds,0,0
102,Zhezkazgan,KZ,47.8,67.71,77.07,54,0,10.4,clear sky,0,0
103,Acari,PE,-15.43,-74.62,61.36,55,8,2.28,clear sky,0,0
